city,temp,feels_like,humidity,pressure,weather_main,weather_description,wind_speed,cloudiness,visibility,timestamp
Berlin,16.9,16.89,86,1017,Clouds,overcast clouds,6.17,98,10000,1788248552
Berlin,18.43,18.44,81,1017,Clouds,overcast clouds,6.17,99,10000,1788251883
Berlin,23.0,22.82,56,1016,Clouds,overcast clouds,7.72,100,10000,1788271253
Berlin,21.22,20.99,61,1017,Clouds,broken clouds,4.12,79,10000,1788286555
Berlin,16.82,16.7,82,1019,Clouds,broken clouds,3.6,70,10000,1788298302
Berlin,14.77,14.63,89,1019,Clouds,scattered clouds,2.57,47,10000,1788306159
Berlin,11.67,11.35,94,1019,Clear,clear sky,1.54,7,10000,1788321243
Berlin,19.22,18.95,67,1020,Clouds,overcast clouds,3.6,100,10000,1788338101
Berlin,22.03,21.67,53,1019,Clouds,overcast clouds,4.12,100,10000,1788355542
Berlin,19.01,18.9,74,1018,Clouds,overcast clouds,2.24,95,10000,1788371103
Berlin,15.96,16.04,93,1018,Clouds,overcast clouds,1.54,97,10000,1788382143
Berlin,13.74,13.52,90,1018,Clouds,overcast clouds,2.06,98,10000,1788390600
Berlin,14.08,13.82,87,1018,Clouds,overcast clouds,3.09,100,10000,1788407428
Berlin,18.79,18.63,73,1016,Clouds,overcast clouds,5.14,100,10000,1788424564
Berlin,22.71,22.58,59,1014,Rain,light rain,5.36,100,10000,1788442006
Berlin,19.18,19.32,83,1014,Clouds,overcast clouds,3.09,92,10000,1788457377
Berlin,18.78,18.83,81,1014,Rain,light rain,6.69,100,10000,1788467913
Berlin,17.12,17.19,88,1014,Clouds,overcast clouds,4.12,100,10000,1788476880
Berlin,17.78,17.81,84,1013,Clouds,overcast clouds,4.12,100,10000,1788493495
Berlin,21.67,21.88,76,1009,Clouds,overcast clouds,7.72,100,10000,1788510759
Berlin,24.33,24.54,66,1006,Clouds,overcast clouds,10.8,100,10000,1788527417
Berlin,17.99,18.19,90,1006,Rain,heavy intensity rain,8.23,100,10000,1788542944
